"book_id","book_title","book_original_title","book_author","book_score","book_score_count","book_genre_info","book_similar","book_id_exists","","","","","","","","","","","","","","","",""
"1","Гиперион","Hyperion","Дэн Симмонс","8.72","7740","wg1;wg4;wg2;wg47;wg89;wg127;wg90;wg103;wg137;wg106","4325;7019;7;134421;4135;242783;357;111170;1274;88961;37311;303312;2096;13054;119682;69746;5351;491119;10989;90251","True","","","","","","","","","","","","","","","",""
"2","Падение Гипериона","The Fall of Hyperion","Дэн Симмонс","8.67","5542","wg1;wg4;wg2;wg47;wg52;wg89;wg127;wg90;wg103;wg137;wg171;wg106","11158;10142;19185","True","","","","","","","","","","","","","","","",""
"3","Эндимион","Endymion","Дэн Симмонс","8.34","3915","wg1;wg4;wg2;wg52;wg47;wg89;wg127;wg90;wg103;wg137;wg111;wg171;wg106","62179","True","","","","","","","","","","","","","","","",""
"4","Восход Эндимиона","The Rise of Endymion","Дэн Симмонс","8.40","3511","wg1;wg4;wg2;wg52;wg47;wg89;wg127;wg90;wg103;wg137;wg209;wg171;wg106","","True","","","","","","","","","","","","","","","",""
"5","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"6","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"7","Академия","Foundation","Айзек Азимов","8.61","4105","wg1;wg2;wg14;wg89;wg127;wg90;wg103;wg113;wg150;wg106","4325;1;2663;136642;81227;4530;81626;10732;50759;15131;40954","True","","","","","","","","","","","","","","","",""
"8","Академия и Империя","Foundation and Empire","Айзек Азимов","8.60","3133","wg1;wg2;wg14;wg89;wg127;wg90;wg103;wg113;wg150;wg106","4325;4530","True","","","","","","","","","","","","","","","",""
"9","Вторая Академия","Second Foundation","Айзек Азимов","8.63","2936","wg1;wg2;wg3;wg14;wg89;wg127;wg90;wg103;wg113;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"10","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"11","Кладбище слонов","The Graveyard Heart","Роджер Желязны","7.93","428","wg1;wg3;wg14;wg164;wg69;wg102;wg140;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"12","Этот бессмертный","This Immortal","Роджер Желязны","8.23","1579","wg1;wg15;wg3;wg52;wg54;wg57;wg47;wg69;wg71;wg190;wg103;wg140;wg131;wg133;wg153;wg106","14;8352;257842;12666;19190;47091","True","","","","","","","","","","","","","","","",""
"13","Творец снов","The Dream Master","Роджер Желязны","7.59","971","wg1;wg3;wg164;wg47;wg69;wg202;wg75;wg102;wg106","495349;27279","True","","","","","","","","","","","","","","","",""
"14","Князь Света","Lord of Light","Роджер Желязны","8.66","2733","wg19;wg29;wg24;wg54;wg56;wg40;wg44;wg47;wg52;wg89;wg127;wg103;wg140;wg133;wg153;wg106","17;552;12;463;2797;1525;610;6590;10134;67;742635;19;49065;185916;12012;358431;10817;128142;49063;2437;843689;23415;38588;38233;13442;29086;80229;135168;20638","True","","","","","","","","","","","","","","","",""
"15","Остров мёртвых","Isle of the Dead","Роджер Желязны","8.06","1416","wg1;wg3;wg52;wg89;wg127;wg103;wg135;wg140;wg153;wg106","7019;5599;38588;48048;63708;60686","True","","","","","","","","","","","","","","","",""
"16","Долина проклятий","Damnation Alley","Роджер Желязны","8.06","1126","wg1;wg15;wg52;wg69;wg202;wg75;wg102;wg113;wg150;wg106","10295;15129","True","","","","","","","","","","","","","","","",""
"17","Порождения света и тьмы","Creatures of Light and Darkness","Роджер Желязны","8.28","1530","wg19;wg29;wg24;wg54;wg167;wg47;wg105;wg133;wg106","14;53856;155139;261204;20309;49767;63682","True","","","","","","","","","","","","","","","",""
"18","Девять принцев Амбера","Nine Princes in Amber","Роджер Желязны","8.60","7408","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg106","3319;1998;10134;19046;10133;487156;1255;8144;3998;10729;4078;11665;1504;424;9970;12415;36970","True","","","","","","","","","","","","","","","",""
"19","Джек-из-Тени","Jack of Shadows","Роджер Желязны","8.28","2447","wg19;wg21;wg23;wg24;wg52;wg47;wg88;wg105;wg140;wg150;wg106","3201;917246;14;5061;560;43553","True","","","","","","","","","","","","","","","",""
"20","Двери лица его, пламенники пасти его","The Doors of His Face, the Lamps of His Mouth","Роджер Желязны","7.72","422","wg1;wg3;wg52;wg164;wg89;wg120;wg103;wg111;wg153;wg106","223350;7165","True","","","","","","","","","","","","","","","",""
"21","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"22","Ружья Авалона","The Guns of Avalon","Роджер Желязны","8.70","6071","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","44898;3898;208239;10729","True","","","","","","","","","","","","","","","",""
"23","Сегодня мы выбираем лица","Today We Choose Faces","Роджер Желязны","7.65","347","wg1;wg3;wg52;wg68;wg89;wg127;wg103;wg139;wg156;wg137;wg153;wg106","88961;1514","True","","","","","","","","","","","","","","","",""
"24","Умереть в Италбаре","To Die in Italbar","Роджер Желязны","7.75","829","wg1;wg3;wg6;wg52;wg164;wg89;wg127;wg103;wg133;wg106","13809","True","","","","","","","","","","","","","","","",""
"25","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"26","Знак Единорога","Sign of the Unicorn","Роджер Желязны","8.65","5437","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","","True","","","","","","","","","","","","","","","",""
"27","Рука Оберона","The Hand of Oberon","Роджер Желязны","8.65","5269","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","3319;3320","True","","","","","","","","","","","","","","","",""
"28","Двери в песке","Doorways in the Sand","Роджер Желязны","7.87","630","wg1;wg3;wg34;wg52;wg69;wg202;wg75;wg102;wg136;wg111;wg150;wg106","6901;10290","True","","","","","","","","","","","","","","","",""
"29","Мост праха","Bridge of Ashes","Роджер Желязны","7.67","253","wg1;wg3;wg47;wg164;wg69;wg202;wg75;wg89;wg121;wg102;wg112;wg136;wg153;wg106","","True","","","","","","","","","","","","","","","",""
"30","Господь Гнева","Deus Irae","Филип Дик","7.51","415","wg1;wg15;wg3;wg118;wg14;wg47;wg164;wg69;wg202;wg75;wg102;wg111;wg171;wg106","13402;5344;13076;5368;5318;5330","True","","","","","","","","","","","","","","","",""
"31","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"32","Владения Хаоса","The Courts of Chaos","Роджер Желязны","8.59","5084","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","51","True","","","","","","","","","","","","","","","",""
"33","Дорожные знаки","Roadmarks","Роджер Желязны","8.01","523","wg19;wg24;wg52;wg54;wg61;wg69;wg101;wg111;wg106","656;62825","True","","","","","","","","","","","","","","","",""
"34","Колокола Шоредана","The Bells of Shoredan","Роджер Желязны","7.83","435","wg19;wg21;wg52;wg88;wg105;wg111;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"35","Витки","Coils","Роджер Желязны","7.99","743","wg1;wg5;wg52;wg69;wg202;wg75;wg102;wg137;wg111;wg153;wg106","2654;495349;315;1242;7013;9765;937745;513962","True","","","","","","","","","","","","","","","",""
"36","Подменённый","Changeling","Роджер Желязны","7.55","792","wg19;wg21;wg52;wg91;wg69;wg202;wg75;wg105;wg112;wg171;wg106","4837","True","","","","","","","","","","","","","","","",""
"37","Последний защитник Камелота","The Last Defender of Camelot","Роджер Желязны","8.00","345","wg19;wg27;wg164;wg69;wg71;wg192;wg202;wg75;wg100;wg140;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"38","Очарованная земля","The Changing Land","Роджер Желязны","7.79","500","wg19;wg21;wg52;wg88;wg105;wg111;wg150;wg106","226085","True","","","","","","","","","","","","","","","",""
"39","Одержимый магией","MadWand","Роджер Желязны","7.31","587","wg19;wg21;wg52;wg91;wg105;wg112;wg106","","True","","","","","","","","","","","","","","","",""
"40","A Rhapsody in Amber","","Роджер Желязны","8.04","24","","","True","","","","","","","","","","","","","","","",""
"41","Глаз Кота","Eye of Cat","Роджер Желязны","7.59","355","wg1;wg3;wg54;wg62;wg164;wg69;wg202;wg75;wg103;wg111;wg142;wg136;wg106","63706;63702;63707","True","","","","","","","","","","","","","","","",""
"42","Дилвиш Проклятый","Dilvish, the Damned","Роджер Желязны","7.77","760","wg19;wg21;wg52;wg88;wg105;wg111;wg150;wg106","35577;66880;282695","True","","","","","","","","","","","","","","","",""
"43","To Spin Is Miracle Cat","","Роджер Желязны","7.38","8","","","True","","","","","","","","","","","","","","","",""
"44","Вариант Единорога","Unicorn Variations","Роджер Желязны","8.36","151","","","True","","","","","","","","","","","","","","","",""
"45","Карты судьбы","Trumps of Doom","Роджер Желязны","8.41","3717","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","9957","True","","","","","","","","","","","","","","","",""
"46","Кровь Амбера","Blood of Amber","Роджер Желязны","8.40","3693","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","","True","","","","","","","","","","","","","","","",""
"47","Спящий","The Sleeper","Роджер Желязны","8.00","638","wg1;wg3;wg52;wg164;wg69;wg202;wg75;wg100;wg156;wg133;wg112;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"48","Знак Хаоса","Sign of Chaos","Роджер Желязны","8.37","3596","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","3051;21906","True","","","","","","","","","","","","","","","",""
"49","Тёмное путешествие","A Dark Traveling","Роджер Желязны","6.91","209","wg1;wg3;wg52;wg91;wg105;wg133;wg150;wg106","","True","","","","","","","","","","","","","","","",""
"50","Наглядный путеводитель по замку Амбер","Roger Zelazny's Visual Guide to Castle Amber","Роджер Желязны","7.46","570","","529257;230110;144916;183141;53821;422211;341965;17637","True","","","","","","","","","","","","","","","",""
"51","Рыцарь Теней","Knight of Shadows","Роджер Желязны","8.31","3503","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","32;872295","True","","","","","","","","","","","","","","","",""
"52","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"53","___","___","___","___","___","___","___","False","","","","","","","","","","","","","","","",""
"54","Чёрный трон","The Black Throne","Роджер Желязны","7.39","278","wg19;wg21;wg52;wg91;wg99;wg106","","True","","","","","","","","","","","","","","","",""
